#radius total type_0_0 type_1_1 type_0_1
5.77000 0.97195 0.98379 0.88560 0.98170
5.79000 0.96342 0.97344 0.86593 0.97777
5.81000 0.96034 0.97411 0.86383 0.97071
5.83000 0.95960 0.98092 0.85026 0.96563
5.85000 0.96961 0.98242 0.89680 0.97500
5.87000 0.95673 0.97369 0.86538 0.96261
5.89000 0.96469 0.99036 0.88172 0.95976
5.91000 0.96632 0.98613 0.87430 0.96952
5.93000 0.96170 0.98467 0.88820 0.95712
5.95000 0.96877 0.99169 0.90885 0.96082
5.97000 0.96340 0.98125 0.91735 0.95706
5.99000 0.96955 0.99504 0.89882 0.96174
6.01000 0.97193 0.99986 0.91212 0.95895
6.03000 0.96870 0.99241 0.90965 0.95974
6.05000 0.96813 0.99597 0.90580 0.95588
6.07000 0.97118 0.99402 0.92831 0.95907
6.09000 0.96298 0.98418 0.92347 0.95165
6.11000 0.97159 0.99208 0.93285 0.96078
6.13000 0.97559 0.99707 0.95480 0.95931
6.15000 0.97343 1.00056 0.95204 0.95164
6.17000 0.97600 0.99865 0.95538 0.95849
6.19000 0.97141 0.99018 0.93965 0.96057
6.21000 0.96586 0.99103 0.92807 0.95012
6.23000 0.97523 1.00139 0.96612 0.95136
6.25000 0.96949 0.98543 0.95686 0.95671
6.27000 0.97785 0.99945 0.96351 0.95982
6.29000 0.97697 0.99965 0.97651 0.95440
6.31000 0.98021 0.99821 0.99982 0.95731
6.33000 0.98635 0.99687 1.00822 0.97038
6.35000 0.97525 0.98680 1.01787 0.95305
6.37000 0.98720 0.99760 1.00451 0.97247
6.39000 0.98337 0.99321 1.00994 0.96690
6.41000 0.98626 0.99363 1.02545 0.96909
6.43000 0.98544 0.99419 1.02233 0.96748
6.45000 0.98902 0.99612 1.00451 0.97805
6.47000 0.98963 0.99867 1.02636 0.97140
6.49000 0.98792 0.99969 1.03172 0.96520
6.51000 0.99257 1.00067 1.03163 0.97469
6.53000 0.99163 0.99926 1.04447 0.97080
6.55000 0.99378 0.99338 1.04048 0.98251
6.57000 0.99512 0.99731 1.03394 0.98323
6.59000 0.99572 0.99266 1.02757 0.99081
6.61000 0.99382 0.99916 1.03368 0.97851
6.63000 0.99614 0.99217 1.03263 0.99098
6.65000 0.99807 0.99977 1.05979 0.98094
6.67000 1.00474 0.99861 1.05251 0.99892
6.69000 1.00389 1.00009 1.07795 0.98917
6.71000 1.00713 1.00367 1.06751 0.99550
6.73000 1.00339 0.99674 1.05462 0.99722
6.75000 1.01426 1.01149 1.05001 1.00810
6.77000 1.00741 1.00142 1.05374 1.00183
6.79000 1.01135 0.99946 1.06847 1.00897
6.81000 1.01438 1.00475 1.06561 1.01120
6.83000 1.00756 0.99606 1.06803 1.00395
6.85000 1.01714 1.00924 1.08593 1.00783
6.87000 1.01262 0.99942 1.07008 1.01146
6.89000 1.01384 1.00320 1.08363 1.00704
6.91000 1.01489 0.99930 1.07172 1.01628
6.93000 1.02024 1.00808 1.08168 1.01704
6.95000 1.02006 1.00260 1.07508 1.02376
6.97000 1.01697 1.00292 1.05832 1.02069
6.99000 1.02701 1.00678 1.08133 1.03366
7.01000 1.02461 1.00588 1.05525 1.03568
7.03000 1.01507 0.99536 1.07479 1.01986
7.05000 1.02329 1.00393 1.06450 1.03234
7.07000 1.02327 1.00636 1.06582 1.02954
7.09000 1.02651 1.00692 1.06674 1.03604
7.11000 1.02247 1.00278 1.07708 1.02850
7.13000 1.02648 1.00394 1.08383 1.03468
7.15000 1.02079 0.99036 1.06243 1.04081
7.17000 1.01985 1.00337 1.05290 1.02806
7.19000 1.02389 1.00859 1.03036 1.03756
7.21000 1.02493 1.01207 1.04563 1.03262
7.23000 1.02720 1.00607 1.05468 1.04145
7.25000 1.02621 1.01391 1.06431 1.02898
7.27000 1.02559 1.00353 1.05926 1.03924
7.29000 1.02733 1.00842 1.07336 1.03472
7.31000 1.02796 1.01411 1.05499 1.03506
7.33000 1.02062 1.00291 1.05252 1.03035
7.35000 1.02958 1.01899 1.04955 1.03516
7.37000 1.02820 1.01255 1.03694 1.04166
7.39000 1.02082 1.01494 1.03049 1.02429
7.41000 1.03159 1.02124 1.04792 1.03786
7.43000 1.02958 1.01430 1.04699 1.04052
7.45000 1.03066 1.02334 1.03895 1.03590
7.47000 1.03189 1.02165 1.04080 1.03991
7.49000 1.02433 1.01914 1.02301 1.02985
7.51000 1.02277 1.01121 1.03632 1.03093
7.53000 1.02760 1.02152 1.04016 1.03054
7.55000 1.02705 1.01581 1.02960 1.03764
7.57000 1.02051 1.01579 1.01567 1.02644
7.59000 1.02616 1.02484 1.01145 1.03115
7.61000 1.01709 1.01387 1.01496 1.02085
7.63000 1.02578 1.02255 1.02255 1.02981
7.65000 1.02416 1.01850 1.02681 1.02915
7.67000 1.01967 1.01819 1.01625 1.02201
7.69000 1.01499 1.01317 0.99771 1.02112
7.71000 1.01726 1.01618 1.00738 1.02080
7.73000 1.01674 1.01656 1.01429 1.01753
7.75000 1.01919 1.02712 0.99654 1.01692
