#radius total type_0_0 type_1_1 type_0_1
4.83000 0.99146 0.99959 1.08165 0.96077
4.85000 0.99097 0.99306 1.08129 0.96631
4.87000 0.98838 0.99018 1.07632 0.96461
4.89000 0.98722 0.98660 1.06424 0.96858
4.91000 0.98887 0.98616 1.06251 0.97316
4.93000 0.98738 0.98019 1.05864 0.97676
4.95000 0.98394 0.97534 1.04133 0.97821
4.97000 0.98280 0.97320 1.03609 0.97909
4.99000 0.98153 0.97115 1.02770 0.98037
5.01000 0.98185 0.97007 1.02027 0.98402
5.03000 0.98178 0.96908 1.00998 0.98742
5.05000 0.97969 0.96267 1.00326 0.99081
5.07000 0.97822 0.96143 0.98480 0.99338
5.09000 0.97688 0.95809 0.97686 0.99567
5.11000 0.97624 0.95696 0.96595 0.99809
5.13000 0.97392 0.95537 0.96054 0.99582
5.15000 0.97490 0.95425 0.95393 1.00080
5.17000 0.97347 0.95069 0.95527 1.00079
5.19000 0.97187 0.94911 0.94081 1.00239
5.21000 0.97133 0.95032 0.94534 0.99885
5.23000 0.97246 0.94661 0.94277 1.00575
5.25000 0.97115 0.94682 0.94011 1.00325
5.27000 0.96752 0.94304 0.92051 1.00377
5.29000 0.96983 0.94913 0.91404 1.00448
5.31000 0.96775 0.94522 0.90607 1.00569
5.33000 0.96814 0.94723 0.90219 1.00553
5.35000 0.96821 0.94464 0.90026 1.00876
5.37000 0.96873 0.94767 0.89176 1.00903
5.39000 0.96650 0.94580 0.88848 1.00671
5.41000 0.96910 0.94823 0.88236 1.01165
5.43000 0.96819 0.94975 0.87863 1.00901
5.45000 0.96781 0.95018 0.87025 1.00984
5.47000 0.96830 0.95138 0.87063 1.00962
5.49000 0.96696 0.95391 0.86266 1.00608
5.51000 0.96560 0.95565 0.85368 1.00352
5.53000 0.96331 0.95238 0.85649 1.00096
5.55000 0.96380 0.95526 0.85498 0.99953
5.57000 0.96469 0.95980 0.85204 0.99774
5.59000 0.96476 0.96033 0.86206 0.99486
5.61000 0.96307 0.95963 0.85818 0.99273
5.63000 0.96341 0.96133 0.86283 0.99064
5.65000 0.96467 0.96674 0.86465 0.98761
5.67000 0.96368 0.96587 0.86421 0.98637
5.69000 0.96271 0.96704 0.86726 0.98224
5.71000 0.96363 0.96927 0.86519 0.98260
5.73000 0.96347 0.97230 0.87602 0.97651
5.75000 0.96496 0.97042 0.88020 0.98068
5.77000 0.96395 0.97421 0.87689 0.97544
5.79000 0.96641 0.97841 0.88259 0.97536
5.81000 0.96516 0.97794 0.88696 0.97194
5.83000 0.96629 0.98091 0.88941 0.97088
5.85000 0.96605 0.98288 0.88911 0.96846
5.87000 0.96798 0.98513 0.89643 0.96872
5.89000 0.96699 0.98443 0.89654 0.96716
5.91000 0.96646 0.98518 0.89835 0.96477
5.93000 0.96875 0.98477 0.90697 0.96817
5.95000 0.96782 0.98435 0.91188 0.96528
5.97000 0.96960 0.98904 0.92102 0.96231
5.99000 0.97036 0.98748 0.92750 0.96396
6.01000 0.96918 0.98484 0.93083 0.96309
6.03000 0.97392 0.99052 0.95034 0.96321
6.05000 0.97340 0.99123 0.95021 0.96137
6.07000 0.97393 0.99102 0.95562 0.96143
6.09000 0.97228 0.98834 0.95045 0.96169
6.11000 0.97315 0.99204 0.95491 0.95882
6.13000 0.97280 0.99307 0.95502 0.95697
6.15000 0.97469 0.99355 0.96530 0.95817
6.17000 0.97511 0.99220 0.96588 0.96033
6.19000 0.97707 0.99438 0.97117 0.96122
6.21000 0.97720 0.99342 0.98159 0.95989
6.23000 0.97768 0.99499 0.98433 0.95870
6.25000 0.98181 0.99583 0.99531 0.96443
6.27000 0.98044 0.99594 0.99366 0.96162
6.29000 0.98200 0.99771 0.99522 0.96299
6.31000 0.98097 0.99822 0.99335 0.96063
6.33000 0.98341 0.99964 1.00011 0.96301
6.35000 0.98140 0.99459 1.00266 0.96289
6.37000 0.98508 1.00162 0.99789 0.96534
6.39000 0.98520 0.99868 1.00854 0.96589
6.41000 0.98432 0.99666 1.01191 0.96508
6.43000 0.98751 0.99774 1.02031 0.96908
6.45000 0.98998 0.99857 1.02847 0.97177
6.47000 0.99120 1.00038 1.02734 0.97299
6.49000 0.99253 0.99997 1.03544 0.97436
6.51000 0.99314 0.99877 1.03447 0.97718
6.53000 0.99175 0.99796 1.03104 0.97571
6.55000 0.99387 0.99854 1.03631 0.97859
6.57000 0.99618 0.99936 1.04172 0.98160
6.59000 0.99756 1.00041 1.04360 0.98320
6.61000 0.99822 0.99928 1.04160 0.98632
6.63000 1.00007 1.00168 1.04872 0.98630
6.65000 1.00203 1.00133 1.05521 0.98943
6.67000 1.00313 1.00263 1.05497 0.99066
6.69000 1.00524 1.00245 1.06103 0.99408
6.71000 1.00611 1.00151 1.06107 0.99698
6.73000 1.00597 1.00032 1.06139 0.99776
6.75000 1.00721 1.00033 1.06618 0.99936
6.77000 1.00963 1.00266 1.06949 1.00164
6.79000 1.01195 1.00201 1.07208 1.00685
6.81000 1.01106 0.99947 1.06902 1.00817
6.83000 1.01238 1.00276 1.06191 1.00961
6.85000 1.01420 1.00496 1.06180 1.01154
6.87000 1.01438 1.00205 1.06754 1.01341
6.89000 1.01519 1.00460 1.06225 1.01402
6.91000 1.01622 1.00382 1.06803 1.01567
6.93000 1.01604 1.00411 1.06834 1.01490
6.95000 1.01836 1.00410 1.07005 1.01969
6.97000 1.01880 1.00412 1.06838 1.02109
6.99000 1.01921 1.00399 1.06335 1.02340
7.01000 1.01990 1.00444 1.06063 1.02518
7.03000 1.02014 1.00573 1.05734 1.02525
7.05000 1.02045 1.00653 1.05105 1.02671
7.07000 1.02064 1.00402 1.05042 1.02980
7.09000 1.02183 1.00463 1.04718 1.03270
7.11000 1.02150 1.00557 1.05052 1.03018
7.13000 1.01997 1.00490 1.03794 1.03053
7.15000 1.02286 1.00731 1.04398 1.03314
7.17000 1.02389 1.00630 1.04886 1.03524
7.19000 1.02245 1.00673 1.03683 1.03457
7.21000 1.02335 1.00770 1.04086 1.03462
7.23000 1.02495 1.00918 1.04122 1.03664
7.25000 1.02479 1.00783 1.04088 1.03772
7.27000 1.02390 1.00887 1.03665 1.03574
7.29000 1.02270 1.00689 1.03416 1.03565
7.31000 1.02180 1.00893 1.02520 1.03382
7.33000 1.02380 1.01061 1.02437 1.03685
7.35000 1.02238 1.00887 1.02454 1.03535
7.37000 1.02349 1.00968 1.02985 1.03571
7.39000 1.02233 1.00843 1.02752 1.03494
7.41000 1.02136 1.00979 1.01985 1.03332
7.43000 1.02183 1.00936 1.02256 1.03412
7.45000 1.02369 1.01243 1.02238 1.03527
7.47000 1.02349 1.01461 1.02330 1.03242
7.49000 1.02338 1.01505 1.01887 1.03283
7.51000 1.02189 1.01401 1.01813 1.03072
